candidate_id,old_doi,proposed_doi,decision
POOL-0001,10.47813/2782-2818-2026-6-1-3001-3010,,not_selected
POOL-0002,,,not_selected
POOL-0003,10.1016/j.actpsy.2026.107469,,not_selected
POOL-0004,10.48550/arxiv.2605.20364,,not_selected
POOL-0005,,,not_selected
POOL-0006,,,not_selected
POOL-0007,,,not_selected
POOL-0008,10.1109/cscwd68734.2026.11582733,,not_selected
POOL-0009,10.48550/arxiv.2604.24525,,not_selected
POOL-0010,,,not_selected
POOL-0011,10.1145/3793302.3793566,,not_selected
POOL-0012,,,not_selected
POOL-0013,,,not_selected
POOL-0014,10.1145/3808130,,not_selected
POOL-0015,10.48550/arxiv.2601.14470,,not_selected
POOL-0016,,,not_selected
POOL-0017,,,not_selected
POOL-0018,10.48550/arxiv.2603.25773,,not_selected
POOL-0019,10.59934/jaiea.v5i3.2431,,not_selected
POOL-0020,10.48550/arxiv.2605.01160,,not_selected
POOL-0021,,,not_selected
POOL-0022,10.48550/arxiv.2604.13114,,not_selected
POOL-0023,10.1371/journal.pcbi.1013970,,not_selected
POOL-0024,10.1145/3794763.3794809,,not_selected
POOL-0025,10.48550/arxiv.2601.04252,,not_selected
POOL-0026,,,not_selected
POOL-0027,10.30574/ijsra.2026.19.2.0992,,not_selected
POOL-0028,10.48550/arxiv.2604.05013,,not_selected
POOL-0029,,,not_selected
POOL-0030,10.48550/arxiv.2603.26130,,not_selected
POOL-0031,10.48550/arxiv.2605.13139,,not_selected
POOL-0032,10.48550/arxiv.2601.05467,,not_selected
POOL-0033,,,not_selected
POOL-0034,10.48550/arxiv.2605.15425,,not_selected
POOL-0035,10.1145/3786583.3786851,,not_selected
POOL-0036,10.48550/arxiv.2603.03121,,not_selected
POOL-0037,10.64898/2026.04.17.719279,,not_selected
POOL-0038,,,not_selected
POOL-0039,10.48550/arxiv.2605.17548,,not_selected
POOL-0040,10.22214/ijraset.2026.79005,,not_selected
POOL-0041,10.1145/3786583.3786910,,not_selected
POOL-0042,,,not_selected
POOL-0043,10.48550/arxiv.2601.04350,,not_selected
POOL-0044,10.64917/feaiml/volume03issue06-01,,not_selected
POOL-0045,10.48550/arxiv.2602.09774,,not_selected
POOL-0046,10.48550/arxiv.2605.01885,,not_selected
POOL-0047,10.1109/icaic67076.2026.11395889,,not_selected
POOL-0048,10.48550/arxiv.2604.15385,,not_selected
POOL-0049,10.48550/arxiv.2602.01655,,not_selected
POOL-0050,,,not_selected
POOL-0051,10.17706/jsw.21.1.14-32,,not_selected
POOL-0052,10.1109/icaace69793.2026.11508786,,not_selected
POOL-0053,10.1109/ecitech69277.2026.11601893,,not_selected
POOL-0054,10.7717/peerj-cs.3642,,not_selected
POOL-0055,10.48550/arxiv.2605.23108,,not_selected
POOL-0056,10.62712/juktisi.v5i1.1070,,not_selected
POOL-0057,10.48550/arxiv.2602.05270,,not_selected
POOL-0058,10.1109/ic3ecsbhi67834.2026.11469106,,not_selected
