key	action	score	old_doi	new_doi	old_url	new_url	old_venue	new_venue	reason
m07_angelgonzalezprieto2020	candidate_below_threshold	0.444	10.48550/arXiv.2008.00977	10.1057/s41599-020-0412-9	https://arxiv.org/abs/2008.00977	https://doi.org/10.1057/s41599-020-0412-9	arXiv preprint / empirical SE qualitative reliability	Humanities and Social Sciences Communications	title=0.30; year=0.04; authors=0.00; published=0.10
p01_lu2025_deepcrceval	upgraded	1.000	10.1007/978-3-031-90900-9\_3	10.1007/978-3-031-90900-9_3	https://doi.org/10.1007/978-3-031-90900-9\_3	https://doi.org/10.1007/978-3-031-90900-9_3	FASE 2025 / LNCS 15693 / Springer	FASE 2025 / LNCS 15693 / Springer	title=1.00; year=0.04; authors=0.10; published=0.10
p04_kumar2026_swe_prbench	no_published_candidate		10.48550/arXiv.2603.26130		https://arxiv.org/abs/2603.26130		arXiv preprint / dataset		no candidate
p05_zeng2025_swrbench	no_published_candidate		10.48550/arXiv.2509.01494		https://arxiv.org/abs/2509.01494		arXiv preprint / benchmark		no candidate
p06_hu2025_contextcrbench	upgraded	1.000	10.1145/3803437.3805235	10.1145/3803437.3805235	http://dx.doi.org/10.1145/3803437.3805235	https://doi.org/10.1145/3803437.3805235	Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering	Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering	title=1.00; year=0.04; authors=0.10; published=0.10
p07_olewicki2024_revmate	candidate_below_threshold	0.681	10.48550/arXiv.2411.07091	10.18653/v1/2024.eacl-long.5	https://arxiv.org/abs/2411.07091	https://doi.org/10.18653/v1/2024.eacl-long.5	arXiv preprint / Mozilla \& Ubisoft user study		title=0.54; year=0.04; authors=0.00; published=0.10
p08_liu2025_too_noisy	upgraded	1.000	10.1109/msr66628.2025.00043	10.1109/msr66628.2025.00043	http://dx.doi.org/10.1109/msr66628.2025.00043	https://doi.org/10.1109/msr66628.2025.00043	2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR)	2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR)	title=1.00; year=0.04; authors=0.10; published=0.10
p10_sun2025_bitsai_cr	upgraded	1.000	10.1145/3696630.3728552	10.1145/3696630.3728552	http://dx.doi.org/10.1145/3696630.3728552	https://doi.org/10.1145/3696630.3728552	Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering	Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering	title=1.00; year=0.04; authors=0.10; published=0.10
p11_zhang2025_laura	upgraded	1.000	10.1109/ase63991.2025.00245	10.1109/ase63991.2025.00245	http://dx.doi.org/10.1109/ase63991.2025.00245	https://doi.org/10.1109/ase63991.2025.00245	2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE)	2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE)	title=1.00; year=0.04; authors=0.10; published=0.10
p12_wang2025_sgcr	upgraded	1.000	10.1109/ase63991.2025.00315	10.1109/ase63991.2025.00315	http://dx.doi.org/10.1109/ase63991.2025.00315	https://doi.org/10.1109/ase63991.2025.00315	2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE)	2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE)	title=1.00; year=0.04; authors=0.10; published=0.10
p13_haider2024_prompting_finetuning	candidate_below_threshold	0.770	10.48550/arXiv.2411.10129	10.1016/j.infsof.2024.107523	[2411.10129] Prompting and Fine-tuning Large Language Models for Automated Code Review Comment Generation	https://doi.org/10.1016/j.infsof.2024.107523	arXiv	Information and Software Technology	title=0.63; year=0.04; authors=0.00; published=0.10
p14_li2022_codereviewer	upgraded	1.000	10.1145/3540250.3549081	10.1145/3540250.3549081	http://dx.doi.org/10.1145/3540250.3549081	https://doi.org/10.1145/3540250.3549081	Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering	title=1.00; year=0.04; authors=0.10; published=0.10
